trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
482,True,"{'a': 0, 'e': 0}",30,0,26.03976549603294,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
483,True,"{'a': 0, 'e': 0}",20,0,25.919958812612183,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
484,True,"{'a': 0, 'e': 0}",35,0,43.00232697645384,"{0: 35, 1: 0, 2: 0, 3: 0, 4: 0}",0
485,True,"{'a': 0, 'e': 0}",20,0,25.222247131059053,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
486,True,"{'a': 0, 'e': 0}",20,0,23.357667144155506,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
487,True,"{'a': 0, 'e': 0}",30,0,39.12592909106573,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
488,True,"{'a': 0, 'e': 0}",25,0,36.3253312076828,"{0: 25, 1: 0, 2: 0, 3: 0, 4: 0}",0
489,True,"{'a': 0, 'e': 0}",30,0,35.655270785234094,"{0: 30, 1: 0, 2: 0, 3: 0, 4: 0}",0
490,True,"{'a': 0, 'e': 0}",20,0,28.28443107169259,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
491,True,"{'a': 0, 'e': 0}",20,0,28.161139609922483,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
492,True,"{'a': 0, 'e': 0}",20,0,7.03613877701338,"{0: 19, 1: 0, 2: 0, 3: 1, 4: 0}",0
493,True,"{'a': 0, 'e': 0}",30,0,14.312425651662554,"{0: 29, 1: 0, 2: 0, 3: 1, 4: 0}",0
494,True,"{'a': 0, 'e': 0}",20,0,28.779877523767258,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
495,True,"{'a': 0, 'e': 0}",20,0,27.056751630776652,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
496,True,"{'a': 0, 'e': 0}",20,0,25.23853471922095,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
497,True,"{'a': 0, 'e': 0}",20,0,24.539185534623616,"{0: 20, 1: 0, 2: 0, 3: 0, 4: 0}",0
